;ncm;descricao;alq_ipi;aliq_ipi
13773;8479.89.3;Limpadores de para-brisas elétricos e acumuladores hidráulicos, para aeronaves;;
13774;8479.89.31;Limpadores de para-brisas;5.0;5.0
13775;8479.89.32;Acumuladores;5.0;5.0
13776;8479.89.40;"Silos metálicos para cereais, fixos (não transportáveis), incluindo as baterias, commecanismos elevadores ou extratores incorporados";0.0;0.0
13777;8479.89.9;Outros;;
13778;8479.89.91;Aparelhos para limpar peças por ultrassom;0.0;0.0
13779;8479.89.92;Máquinas de leme para embarcações;5.0;5.0
13780;8479.89.99;Outros;0.0;0.0
13781;8479.90;- Partes;;
13782;8479.90.10;De limpadores de para-brisas elétricos ou de acumuladores hidráulicos para aeronaves;5.0;5.0
13783;8479.90.90;Outras;0.0;0.0
13785;84.80;"Caixas de fundição; placas de fundo para moldes; modelos para moldes; moldes parametais (exceto lingoteiras), carbonetos metálicos, vidro, matérias minerais, borrachaou plástico.";;
13786;8480.10.00;- Caixas de fundição;0.0;0.0
13787;8480.20.00;- Placas de fundo para moldes;0.0;0.0
13788;8480.30.00;- Modelos para moldes;0.0;0.0
13789;8480.4;- Moldes para metais ou carbonetos metálicos:;;
13790;8480.41.00;--Para moldagem por injeção ou por compressão;0.0;0.0
13791;8480.49;--Outros;;
13792;8480.49.10;Coquilhas;0.0;0.0
13793;8480.49.90;Outros;0.0;0.0
13794;8480.50.00;- Moldes para vidro;0.0;0.0
13795;8480.60.00;- Moldes para matérias minerais;0.0;0.0
13796;8480.7;- Moldes para borracha ou plástico:;;
13797;8480.71.00;--Para moldagem por injeção ou por compressão;0.0;0.0
13798;8480.79;--Outros;;
13799;8480.79.10;Para vulcanização de pneumáticos;0.0;0.0
13800;8480.79.90;Outros;0.0;0.0
13802;84.81;"Torneiras,válvulas(incluindoasredutorasdepressãoeastermostáticas)edispositivos semelhantes, para canalizações, caldeiras, reservatórios, cubas e outrosrecipientes.";;
13803;8481.10.00;- Válvulas redutoras de pressão;0.0;0.0
13804;8481.20;- Válvulas para transmissões óleo-hidráulicas ou pneumáticas;;
13805;8481.20.1;Rotativas, de caixas de direção hidráulica;;
13806;8481.20.11;Com pinhão;5.0;5.0
13807;8481.20.19;Outras;5.0;5.0
13808;8481.20.90;Outras;0.0;0.0
13809;8481.30.00;- Válvulas de retenção;0.0;0.0
13810;8481.40.00;- Válvulas de segurança ou de alívio;0.0;0.0
13811;8481.80;- Outros dispositivos;;
13812;8481.80.1;Do tipo utilizado em banheiros ou cozinhas;;
13813;8481.80.11;Válvulas para escoamento;0.0;0.0
13814;8481.80.19;Outros;0.0;0.0
13815;8481.80.2;Do tipo utilizado em refrigeração;;
13816;8481.80.21;Válvulas de expansão termostáticas ou pressostáticas;0.0;0.0
13817;8481.80.29;Outros;0.0;0.0
13819;8481.80.3;Do tipo utilizado em equipamentos a gás;;
13820;8481.80.31;"Com uma pressão de trabalho inferior ou igual a 50 mbar e dispositivo de segurançatermoelétrico incorporado, do tipo utilizado em aparelhos domésticos";4.0;4.0
13821;8481.80.39;Outros;4.0;4.0
13822;8481.80.9;Outros;;
13823;8481.80.91;Válvulas tipo aerossol;12.0;12.0
13824;8481.80.92;Válvulas solenóides;0.0;0.0
13825;8481.80.93;Válvulas tipo gaveta;0.0;0.0
13826;8481.80.94;Válvulas tipo globo;0.0;0.0
13827;8481.80.95;Válvulas tipo esfera;0.0;0.0
13828;8481.80.96;Válvulas tipo macho;0.0;0.0
13829;8481.80.97;Válvulas tipo borboleta;0.0;0.0
13830;8481.80.99;Outros;5.0;5.0
13831;8481.90;- Partes;;
13832;8481.90.10;De válvulas tipo aerossol ou dos dispositivos do item 8481.80.1;12.0;12.0
13834;8481.90.90;Outras;0.0;0.0
13836;84.82;Rolamentos de esferas, de roletes ou de agulhas.;;
13837;8482.10;- Rolamentos de esferas;;
13838;8482.10.10;De carga radial;12.0;12.0
13839;8482.10.90;Outros;12.0;12.0
13840;8482.20;"- Rolamentos de roletes cônicos, incluindo os conjuntos constituídos por cones e roletescônicos";;
13841;8482.20.10;De carga radial;12.0;12.0
13842;8482.20.90;Outros;12.0;12.0
13843;8482.30.00;- Rolamentos de roletes em forma de tonel;12.0;12.0
13844;8482.40.00;- Rolamentos de agulhas;12.0;12.0
13845;8482.50;- Rolamentos de roletes cilíndricos;;
13846;8482.50.10;De carga radial;12.0;12.0
13847;8482.50.90;Outros;12.0;12.0
13848;8482.80.00;- Outros, incluindo os rolamentos combinados;12.0;12.0
13849;8482.9;- Partes:;;
13850;8482.91;--Esferas, roletes e agulhas;;
13851;8482.91.1;Esferas de aço calibradas;;
13852;8482.91.11;Para carga de canetas esferográficas;12.0;12.0
13853;8482.91.19;Outras;12.0;12.0
13854;8482.91.20;Roletes cilíndricos;12.0;12.0
13855;8482.91.30;Roletes cônicos;12.0;12.0
13856;8482.91.90;Outros;12.0;12.0
13857;8482.99;--Outras;;
13858;8482.99.10;Selos, capas e porta-esferas de aço;12.0;12.0
13859;8482.99.90;Outras;12.0;12.0
13861;84.83;"Árvores(veios)detransmissão(incluindoasárvoresdecamesevirabrequins(cambotas)) e manivelas; mancais (chumaceiras) e “bronzes”; engrenagens e rodasde fricção; eixos de esferas ou de roletes; redutores, multiplicadores, caixas detransmissãoevariadoresdevelocidade,incluindoosconversoresdetorque(binários*); volantes e polias, incluindo as polias para cadernais; embreagens edispositivos de acoplamento, incluindo as juntas de articulação.";;
13862;8483.10;"- Árvores (veios) de transmissão (incluindo as árvores de cames e virabrequins (cambotas))e manivelas";;
13863;8483.10.1;Virabrequins;;
13864;8483.10.11;"Forjados, de peso igual ou superior a 900 kg e comprimento igual ou superior a2.000 mm";0.0;0.0
13865;8483.10.19;Outros;0.0;0.0
13867;8483.10.20;Árvores de cames para comando de válvulas;0.0;0.0
13868;8483.10.30;Veios flexíveis;0.0;0.0
13869;8483.10.40;Manivelas;0.0;0.0
13870;8483.10.50;"Árvores de transmissão providas de acoplamentos dentados com entalhes de proteçãocontra sobrecarga, de comprimento igual ou superior a 1500 mm e diâmetro do eixoigual ou superior a 400 mm";12.0;12.0
13871;8483.10.90;Outros;0.0;0.0
13872;8483.20.00;- Mancais (chumaceiras) com rolamentos incorporados;12.0;12.0
13873;8483.30;"- Mancais (chumaceiras) sem rolamentos; “bronzes”";;
13874;8483.30.10;Montados com “bronzes” de metal antifricção;12.0;12.0
13875;8483.30.2;“Bronzes”;;
13876;8483.30.21;De diâmetro interno igual ou superior a 200 mm;12.0;12.0
13877;8483.30.29;Outros;12.0;12.0
13878;8483.30.90;Outros;12.0;12.0
13879;8483.40;"- Engrenagenserodasdefricção,excetorodasdentadassimpleseoutrosórgãoselementares de transmissão apresentados separadamente; eixos de esferas ou de roletes;redutores, multiplicadores, caixas de transmissão e variadores de velocidade, incluindo osconversores de torque (binários*)";;
13880;8483.40.10;"Redutores, multiplicadores, caixas de transmissão e variadores de velocidade, incluindoos conversores de torque";0.0;0.0
13881;8483.40.90;Outros;0.0;0.0
13882;8483.50;- Volantes e polias, incluindo as polias para cadernais;;
13883;8483.50.10;Polias, exceto as de rolamentos reguladoras de tensão;12.0;12.0
13884;8483.50.90;Outras;12.0;12.0
13885;8483.60;- Embreagens e dispositivos de acoplamento, incluindo as juntas de articulação;;
13886;8483.60.1;Embreagens;;
13887;8483.60.11;De fricção;0.0;0.0
13888;8483.60.19;Outras;0.0;0.0
13889;8483.60.90;Outros;0.0;0.0
13890;8483.90.00;"- Rodasdentadaseoutrosórgãoselementaresdetransmissãoapresentadosseparadamente; partes";0.0;0.0
13892;84.84;"Juntas metaloplásticas; jogos ou sortidos de juntas de composições diferentes,apresentados em bolsas, envelopes ou embalagens semelhantes; juntas de vedaçãomecânicas.";;
13893;8484.10.00;- Juntas metaloplásticas;12.0;12.0
13894;8484.20.00;- Juntas de vedação mecânicas;10.0;10.0
13895;8484.90.00;- Outros;12.0;12.0
13897;84.86;"Máquinas e aparelhos do tipo utilizado exclusiva ou principalmente na fabricação deboules ou wafers de material semicondutor, dispositivos semicondutores, circuitosintegradoseletrônicosoudedispositivosdevisualizaçãodetela(ecrã*)plana;máquinas e aparelhos especificados na Nota 9 C) do presente Capítulo; partes eacessórios.";;
13898;8486.10.00;- Máquinas e aparelhos para a fabricação de boules ou wafers;0.0;0.0
13899;8486.20.00;"- Máquinas e aparelhos para a fabricação de dispositivos semicondutores ou de circuitosintegrados eletrônicos";0.0;0.0
13900;8486.30.00;"- Máquinas e aparelhos para a fabricação de dispositivos de visualização de tela (ecrã*)plana";0.0;0.0
13901;8486.40.00;- Máquinas e aparelhos especificados na Nota 9 C) do presente Capítulo;0.0;0.0
13902;8486.90.00;- Partes e acessórios;0.0;0.0
13904;84.87;"Partes de máquinas ou de aparelhos, não especificadas nem compreendidas noutrasposiçõesdopresenteCapítulo,quenãocontenhamconexõeselétricas,partesisoladaseletricamente,bobinas,contatosnem quaisqueroutroselementoscomcaracterísticas elétricas.";;
13905;8487.10.00;- Hélices para embarcações e suas pás;10.0;10.0
13906;8487.90.00;- Outras;10.0;10.0
13907;85.01;Motores e geradores, elétricos, exceto os grupos eletrogêneos.;;
13908;8501.10;- Motores de potência não superior a 37,5 W;;
13909;8501.10.1;De corrente contínua;;
13910;8501.10.11;De passo inferior ou igual a 1,8°;5.0;5.0
13912;8501.10.19;Outros;10.0;10.0
13913;8501.10.2;De corrente alternada;;
13914;8501.10.21;Síncronos;10.0;10.0
13915;8501.10.29;Outros;10.0;10.0
13916;8501.10.30;Universais;10.0;10.0
13917;8501.20.00;- Motores universais de potência superior a 37,5 W;10.0;10.0
13918;8501.3;"- Outros motores de corrente contínua; geradores de corrente contínua:";;
13919;8501.31;--De potência não superior a 750 W;;
13920;8501.31.10;Motores;10.0;10.0
13921;8501.31.20;Geradores;0.0;0.0
13922;8501.32;--De potência superior a 750 W, mas não superior a 75 kW;;
13923;8501.32.10;Motores;0.0;0.0
13924;8501.32.20;Geradores;0.0;0.0
13925;8501.33;--De potência superior a 75 kW, mas não superior a 375 kW;;
13926;8501.33.10;Motores;0.0;0.0
13927;8501.33.20;Geradores;0.0;0.0
13928;8501.34;--De potência superior a 375 kW;;
13929;8501.34.1;Motores;;
13930;8501.34.11;De potência inferior ou igual a 3.000 kW;0.0;0.0
13931;8501.34.19;Outros;0.0;0.0
13932;8501.34.20;Geradores;0.0;0.0
13933;8501.40;- Outros motores de corrente alternada, monofásicos;;
13934;8501.40.1;De potência inferior ou igual a 15 kW;;
13935;8501.40.11;Síncronos;0.0;0.0
13936;8501.40.19;Outros;10.0;10.0
13937;8501.40.2;De potência superior a 15 kW;;
13938;8501.40.21;Síncronos;0.0;0.0
13939;8501.40.29;Outros;10.0;10.0
13940;8501.5;- Outros motores de corrente alternada, polifásicos:;;
13941;8501.51;--De potência não superior a 750 W;;
13942;8501.51.10;Trifásicos, com rotor de gaiola;5.0;5.0
13944;8501.51.20;Trifásicos, com rotor de anéis;0.0;0.0
13945;8501.51.90;Outros;0.0;0.0
13946;8501.52;--De potência superior a 750 W, mas não superior a 75 kW;;
13947;8501.52.10;Trifásicos, com rotor de gaiola;0.0;0.0
13948;8501.52.20;Trifásicos, com rotor de anéis;0.0;0.0
13949;8501.52.90;Outros;0.0;0.0
13950;8501.53;--De potência superior a 75 kW;;
13951;8501.53.10;Trifásicos, de potência inferior ou igual a 7.500 kW;0.0;0.0
13952;8501.53.20;Trifásicos, de potência superior a 7.500 kW, mas não superior a 30.000 kW;0.0;0.0
13953;8501.53.30;Trifásicos, de potência superior a 30.000 kW, mas não superior a 50.000 kW;0.0;0.0
13954;8501.53.90;Outros;0.0;0.0
13955;8501.6;- Geradores de corrente alternada (alternadores):;;
13956;8501.61.00;--De potência não superior a 75 kVA;0.0;0.0
13957;8501.62.00;--De potência superior a 75 kVA, mas não superior a 375 kVA;0.0;0.0
13958;8501.63.00;--De potência superior a 375 kVA, mas não superior a 750 kVA;0.0;0.0
13959;8501.64.00;--De potência superior a 750 kVA;0.0;0.0
13961;85.02;Grupos eletrogêneos e conversores rotativos elétricos.;;
13962;8502.1;"- Grupos eletrogêneos de motor de pistão, de ignição por compressão (motores diesel ousemidiesel):";;
13963;8502.11;--De potência não superior a 75 kVA;;
13964;8502.11.10;De corrente alternada;0.0;0.0
13965;8502.11.90;Outros;0.0;0.0
13966;8502.12;--De potência superior a 75 kVA, mas não superior a 375 kVA;;
13967;8502.12.10;De corrente alternada;0.0;0.0
13968;8502.12.90;Outros;0.0;0.0
13969;8502.13;--De potência superior a 375 kVA;;
13970;8502.13.1;De corrente alternada;;
13971;8502.13.11;De potência inferior ou igual a 430 kVA;0.0;0.0
13972;8502.13.19;Outros;0.0;0.0
13973;8502.13.90;Outros;0.0;0.0
13974;8502.20;"- Grupos eletrogêneos de motor de pistão, de ignição por centelha (faísca*) (motor deexplosão)";;
13975;8502.20.1;De corrente alternada;;
13976;8502.20.11;De potência inferior ou igual a 210 kVA;0.0;0.0
13977;8502.20.19;Outros;0.0;0.0
13978;8502.20.90;Outros;0.0;0.0
13979;8502.3;- Outros grupos eletrogêneos:;;
13980;8502.31.00;--De energia eólica;0.0;0.0
13981;8502.39.00;--Outros;0.0;0.0
13982;8502.40;- Conversores rotativos elétricos;;
13983;8502.40.10;De frequência;0.0;0.0
13984;8502.40.90;Outros;0.0;0.0
13986;8503.00;"Partes reconhecíveis como exclusiva ou principalmente destinadas às máquinas dasposições 85.01 ou 85.02.";;
13987;8503.00.10;"De motores ou geradores das subposições 8501.10, 8501.20, 8501.31, 8501.32 ou doitem 8501.40.1";10.0;10.0
13988;8503.00.90;Outras;10.0;10.0
13991;85.04;"Transformadoreselétricos,conversoreselétricosestáticos(retificadores,porexemplo), bobinas de reatância e de auto-indução.";;
13992;8504.10.00;- Reatores (Balastros*) para lâmpadas ou tubos de descarga;5.0;5.0
13993;8504.2;- Transformadores de dielétrico líquido:;;
13994;8504.21.00;--De potência não superior a 650 kVA;0.0;0.0
13995;8504.22.00;--De potência superior a 650 kVA, mas não superior a 10.000 kVA;0.0;0.0
13996;8504.23.00;--De potência superior a 10.000 kVA;0.0;0.0
13997;8504.3;- Outros transformadores:;;
13998;8504.31;--De potência não superior a 1 kVA;;
13999;8504.31.1;Para frequências inferiores ou iguais a 60 Hz;;
14000;8504.31.11;Transformadores de corrente;10.0;10.0
14001;8504.31.19;Outros;10.0;10.0
14002;8504.31.9;Outros;;
14003;8504.31.91;"Transformador de saída horizontal (fly back), com tensão de saída superior a 18 kV efrequência de varredura horizontal igual ou superior a 32 kHz";5.0;5.0
14004;8504.31.92;Transformadores de FI, de detecção, de relação, de linearidade ou de foco;20.0;20.0
14005;8504.31.99;Outros;10.0;10.0
14007;8504.32;--De potência superior a 1 kVA, mas não superior a 16 kVA;;
14008;8504.32.1;De potência inferior ou igual a 3 kVA;;
14009;8504.32.11;Para frequências inferiores ou iguais a 60 Hz;0.0;0.0
14010;8504.32.19;Outros;0.0;0.0
14011;8504.32.2;De potência superior a 3 kVA;;
14012;8504.32.21;Para frequências inferiores ou iguais a 60 Hz;0.0;0.0
14013;8504.32.29;Outros;0.0;0.0
14014;8504.33.00;--De potência superior a 16 kVA, mas não superior a 500 kVA;0.0;0.0
14015;8504.34.00;--De potência superior a 500 kVA;0.0;0.0
14016;8504.40;- Conversores estáticos;;
14017;8504.40.10;Carregadores de acumuladores;5.0;5.0
14018;8504.40.2;Retificadores, exceto carregadores de acumuladores;;
14019;8504.40.21;De cristal (semicondutores);5.0;5.0
14020;8504.40.22;Eletrolíticos;5.0;5.0
14021;8504.40.29;Outros;5.0;5.0
14022;8504.40.30;Conversores de corrente contínua;15.0;15.0
14023;8504.40.40;Equipamento de alimentação ininterrupta de energia (UPS ou no break);15.0;15.0
14024;8504.40.50;"Conversoreseletrônicosdefrequência,paravariaçãodevelocidadedemotoreselétricos";15.0;15.0
14025;8504.40.60;"Aparelhos eletrônicos de alimentação de energia do tipo utilizado para iluminação deemergência";15.0;15.0
14026;8504.40.90;Outros;15.0;15.0
14027;8504.50.00;- Outras bobinas de reatância e de auto-indução;0.0;0.0
14028;8504.90;- Partes;;
14029;8504.90.10;Núcleos de pó ferromagnético;10.0;10.0
14030;8504.90.20;De reatores para lâmpadas ou tubos de descarga;10.0;10.0
14031;8504.90.30;De transformadores das subposições 8504.21, 8504.22, 8504.23, 8504.33 ou 8504.34;10.0;10.0
14032;8504.90.40;De conversores estáticos, exceto de carregadores de acumuladores e de retificadores;10.0;10.0
14033;8504.90.90;Outras;10.0;10.0
14035;85.05;"Eletroímãs; ímãs permanentes e artigos destinados a tornarem-se ímãs permanentesapós magnetização; placas, mandris e dispositivos semelhantes, magnéticos oueletromagnéticos, de fixação; acoplamentos, embreagens, variadores de velocidadee freios (travões), eletromagnéticos; cabeças de elevação eletromagnéticas.";;
14036;8505.1;"- Ímãspermanenteseartigosdestinadosatornarem-seímãspermanentesapósmagnetização:";;
14037;8505.11.00;--De metal;15.0;15.0
14038;8505.19;--Outros;;
14039;8505.19.10;De ferrita (cerâmicos);15.0;15.0
14040;8505.19.90;Outros;15.0;15.0
14041;8505.20;- Acoplamentos, embreagens, variadores de velocidade e freios (travões), eletromagnéticos;;
14042;8505.20.10;"Freios (travões) que atuam por corrente de Foucault, do tipo utilizado nos veículos dasposições 87.01 a 87.05";5.0;5.0
14043;8505.20.90;Outros;5.0;5.0
14045;8505.90;- Outros, incluindo as partes;;
14046;8505.90.10;Eletroímãs;5.0;5.0
14047;8505.90.80;Outros;15.0;15.0
14048;8505.90.90;Partes;15.0;15.0
14050;85.06;Pilhas e baterias de pilhas, elétricas.;;
14051;8506.10;- De dióxido de manganês;;
14052;8506.10.1;Pilhas alcalinas;;
14053;8506.10.11;De tensão igual a 1,5 V, cilíndricas, do tipo LR14 (C);15.0;15.0
14054;8506.10.12;De tensão igual a 1,5 V, cilíndricas, do tipo LR20 (D);15.0;15.0
14055;8506.10.19;Outras;15.0;15.0
14056;8506.10.20;Outras pilhas;15.0;15.0
14057;8506.10.3;Baterias de pilhas;;
14058;8506.10.31;Alcalinas, de tensão igual a 9 V;15.0;15.0
14059;8506.10.32;Alcalinas, de tensão igual a 12 V;15.0;15.0
14060;8506.10.39;Outras;15.0;15.0
14061;8506.30;- De óxido de mercúrio;;
14062;8506.30.10;Com volume exterior não superior a 300 cm3;15.0;15.0
14063;8506.30.90;Outras;15.0;15.0
14064;8506.40;- De óxido de prata;;
14065;8506.40.10;Com volume exterior não superior a 300 cm3;15.0;15.0
14066;8506.40.90;Outras;15.0;15.0
14067;8506.50;- De lítio;;
14068;8506.50.10;Com volume exterior não superior a 300 cm3;15.0;15.0
14069;8506.50.90;Outras;15.0;15.0
14070;8506.60;- De ar-zinco;;
14071;8506.60.10;Com volume exterior não superior a 300 cm3;15.0;15.0
14072;8506.60.90;Outras;15.0;15.0
14073;8506.80;- Outras pilhas e baterias de pilhas;;
14074;8506.80.10;Com volume exterior não superior a 300 cm3;15.0;15.0
14075;8506.80.90;Outras;15.0;15.0
14076;8506.90.00;- Partes;15.0;15.0
14078;85.07;"Acumuladoreselétricoseseusseparadores,mesmodeformaquadradaouretangular.";;
14079;8507.10;- De chumbo, do tipo utilizado para o arranque dos motores de pistão;;
14080;8507.10.10;De capacidade inferior ou igual a 20 Ah e tensão inferior ou igual a 12 V;15.0;15.0
14081;8507.10.90;Outros;15.0;15.0
14083;8507.20;- Outros acumuladores de chumbo;;
14084;8507.20.10;De peso inferior ou igual a 1.000 kg;15.0;15.0
14085;8507.20.90;Outros;15.0;15.0
14086;8507.30;- De níquel-cádmio;;
14087;8507.30.1;De peso inferior ou igual a 2.500 kg;;
14088;8507.30.11;De capacidade inferior ou igual a 15 Ah;15.0;15.0
14089;8507.30.19;Outros;15.0;15.0
14090;8507.30.90;Outros;15.0;15.0
14091;8507.40.00;- De níquel-ferro;15.0;15.0
14092;8507.50;- De níquel-hidreto metálico;;
14093;8507.50.10;De tensão igual a 1,2 V, cilíndricos do tipo HR6 (AA);15.0;15.0
14094;8507.50.20;De tensão igual a 1,2 V, cilíndricos do tipo HR03 (AAA);15.0;15.0
14095;8507.50.90;Outros;15.0;15.0
14096;8507.60.00;- De íon de lítio;15.0;15.0
14097;8507.80.00;- Outros acumuladores;15.0;15.0
14098;8507.90;- Partes;;
14099;8507.90.10;Separadores;15.0;15.0
14100;8507.90.20;Recipientes de plástico, suas tampas e tampões;15.0;15.0
14101;8507.90.90;Outras;15.0;15.0
14103;85.08;Aspiradores.;;
14104;8508.1;- Com motor elétrico incorporado:;;
14105;8508.11.00;--De potência não superior a 1.500 W e cujo volume do reservatório não exceda 20 l;10.0;10.0
14106;8508.19.00;--Outros;10.0;10.0
14107;8508.60.00;- Outros aspiradores;10.0;10.0
14108;8508.70.00;- Partes;10.0;10.0
14110;85.09;"Aparelhoseletromecânicoscommotorelétricoincorporado,deusodoméstico,exceto os aspiradores da posição 85.08.";;
14111;8509.40;"- Trituradores (moedores) e misturadores de alimentos; espremedores de fruta ou deprodutos hortícolas";;
14112;8509.40.10;Liquidificadores;10.0;10.0
14113;8509.40.20;Batedeiras;10.0;10.0
14114;8509.40.30;Moedores de carne;10.0;10.0
14115;8509.40.40;Extratores centrífugos de sucos;10.0;10.0
14116;8509.40.50;"Aparelhosdefunçõesmúltiplas,providosdeacessóriosintercambiáveis,paraprocessar alimentos";10.0;10.0
14117;8509.40.90;Outros;10.0;10.0
14118;8509.80;- Outros aparelhos;;
14119;8509.80.10;Enceradeiras de pisos;10.0;10.0
14120;8509.80.90;Outros;10.0;10.0
14121;8509.90.00;- Partes;10.0;10.0
14123;85.10;"Aparelhos ou máquinas de barbear, máquinas de cortar o cabelo ou de tosquiar eaparelhos de depilar, com motor elétrico incorporado.";;
14124;8510.10.00;- Aparelhos ou máquinas de barbear;20.0;20.0
14125;8510.20.00;- Máquinas de cortar o cabelo ou de tosquiar;20.0;20.0
14126;8510.30.00;- Aparelhos de depilar;10.0;10.0
14127;8510.90;- Partes;;
14128;8510.90.1;De aparelhos ou máquinas de barbear;;
14129;8510.90.11;Lâminas;20.0;20.0
14130;8510.90.19;Outras;20.0;20.0
14131;8510.90.20;Pentes e contrapentes para máquinas de tosquiar;20.0;20.0
14132;8510.90.90;Outras;20.0;20.0
14134;85.11;"Aparelhos e dispositivos elétricos de ignição ou de arranque para motores de igniçãoporcentelha(faísca*)ouporcompressão(porexemplo,magnetos,dínamos-magnetos, bobinas de ignição, velas de ignição ou de aquecimento, motores dearranque);geradores(porexemplo,dínamosealternadores)econjuntores-disjuntores utilizados com estes motores.";;
14135;8511.10.00;- Velas de ignição;15.0;15.0
14136;8511.20;"- Magnetos; dínamos-magnetos; volantes magnéticos";;
14137;8511.20.10;Magnetos;15.0;15.0
14138;8511.20.90;Outros;15.0;15.0
14139;8511.30;"- Distribuidores; bobinas de ignição";;
14140;8511.30.10;Distribuidores;15.0;15.0
14141;8511.30.20;Bobinas de ignição;15.0;15.0
14142;8511.40.00;- Motores de arranque, mesmo funcionando como geradores;15.0;15.0
14144;8511.50;- Outros geradores;;
14145;8511.50.10;Dínamos e alternadores;15.0;15.0
14147;8511.50.90;Outros;15.0;15.0
14148;8511.80;- Outros aparelhos e dispositivos;;
14149;8511.80.10;Velas de aquecimento;15.0;15.0
14150;8511.80.20;Reguladores de voltagem (conjuntores-disjuntores);15.0;15.0
14151;8511.80.30;Ignição eletrônica digital;15.0;15.0
14152;8511.80.90;Outros;15.0;15.0
14153;8511.90.00;- Partes;15.0;15.0
14155;85.12;"Aparelhos elétricos de iluminação ou de sinalização (exceto os da posição 85.39),limpadores de para-brisas, degeladores e desembaçadores elétricos, do tipo utilizadoem ciclos ou automóveis.";;
14156;8512.10.00;- Aparelhos de iluminação ou de sinalização visual do tipo utilizado em bicicletas;15.0;15.0
14157;8512.20;- Outros aparelhos de iluminação ou de sinalização visual;;
14158;8512.20.1;Aparelhos de iluminação;;
14159;8512.20.11;Faróis;15.0;15.0
14161;8512.20.19;Outros;15.0;15.0
14162;8512.20.2;Aparelhos de sinalização visual;;
14163;8512.20.21;Luzes fixas;15.0;15.0
14165;8512.20.22;Luzes indicadoras de manobras;15.0;15.0
14166;8512.20.23;Caixas de luzes combinadas;15.0;15.0
14167;8512.20.29;Outros;15.0;15.0
14168;8512.30.00;- Aparelhos de sinalização acústica;15.0;15.0
14169;8512.40;- Limpadores de para-brisas, degeladores e desembaçadores;;
14170;8512.40.10;Limpadores de para-brisas;15.0;15.0
14171;8512.40.20;Degeladores e desembaçadores;15.0;15.0
14172;8512.90.00;- Partes;15.0;15.0
14174;85.13;"Lanternas elétricas portáteis destinadas a funcionar por meio de sua própria fonte deenergia(porexemplo,depilhas,deacumuladores, demagnetos),excluindoosaparelhos de iluminação da posição 85.12.";;
14175;8513.10;- Lanternas;;
14176;8513.10.10;Manuais;15.0;15.0
14177;8513.10.90;Outras;15.0;15.0
14178;8513.90.00;- Partes;15.0;15.0
14180;85.14;"Fornoselétricosindustriaisoudelaboratório,incluindoosquefuncionamporindução ou por perdas dielétricas; outros aparelhos industriais ou de laboratório paratratamento térmico de matérias por indução ou por perdas dielétricas.";;
14181;8514.10;- Fornos de resistência (de aquecimento indireto);;
14182;8514.10.10;Industriais;0.0;0.0
14183;8514.10.90;Outros;5.0;5.0
14184;8514.20;- Fornos que funcionam por indução ou por perdas dielétricas;;
14185;8514.20.1;Por indução;;
14186;8514.20.11;Industriais;0.0;0.0
14187;8514.20.19;Outros;5.0;5.0
14188;8514.20.20;Por perdas dielétricas;5.0;5.0
14190;8514.30;- Outros fornos;;
14191;8514.30.1;De resistência (de aquecimento direto);;
14192;8514.30.11;Industriais;0.0;0.0
14193;8514.30.19;Outros;5.0;5.0
14194;8514.30.2;De arco voltaico;;
14195;8514.30.21;Industriais;0.0;0.0
14196;8514.30.29;Outros;5.0;5.0
14197;8514.30.90;Outros;0.0;0.0
14198;8514.40.00;"- Outrosaparelhosparatratamentotérmicodematériasporinduçãoouporperdasdielétricas";0.0;0.0
14199;8514.90.00;- Partes;5.0;5.0
14201;85.15;"Máquinas e aparelhos para soldar (mesmo de corte) elétricos (incluindo os a gásaquecido eletricamente), a laser ou outros feixes de luz ou de fótons, a ultrassom, afeixes de elétrons, a impulsos magnéticos ou a jato de plasma; máquinas e aparelhoselétricos para projeção a quente de metais ou de cermets.";;
14202;8515.1;- Máquinas e aparelhos para soldadura forte ou fraca:;;
14203;8515.11.00;--Ferros e pistolas;5.0;5.0
14204;8515.19.00;--Outros;0.0;0.0
14205;8515.2;- Máquinas e aparelhos para soldar metais por resistência:;;
14206;8515.21.00;--Inteira ou parcialmente automáticos;0.0;0.0
14207;8515.29.00;--Outros;0.0;0.0
14208;8515.3;- Máquinas e aparelhos para soldar metais por arco ou jato de plasma:;;
14209;8515.31;--Inteira ou parcialmente automáticos;;
14210;8515.31.10;"Robôs para soldar, por arco, em atmosfera inerte (MIG - Metal Inert Gas) ou atmosferaativa (MAG - Metal Active Gas), de comando numérico";0.0;0.0
14211;8515.31.90;Outros;0.0;0.0
14212;8515.39.00;--Outros;0.0;0.0
14213;8515.80;- Outras máquinas e aparelhos;;
14214;8515.80.10;Para soldar a laser;0.0;0.0
14215;8515.80.90;Outros;0.0;0.0
14216;8515.90.00;- Partes;0.0;0.0
14218;85.16;"Aquecedores elétricos de água, incluindo os de imersão; aparelhos elétricos paraaquecimentodeambientes,dosoloouparausossemelhantes;aparelhoseletrotérmicosparaarranjosdocabelo(porexemplo,secadoresdecabelo,frisadores, aquecedores de ferros de frisar) ou para secar as mãos; ferros elétricosdepassar;outrosaparelhoseletrotérmicosdeusodoméstico;resistênciasdeaquecimento, exceto as da posição 85.45.";;
14219;8516.10.00;- Aquecedores elétricos de água, incluindo os de imersão;20.0;20.0
